"","Valid_LIB.C.150","Alien_origin","rep.1..length.pezalps.TNRS.phy.tip.label..","endemic.TNRS","Ecrins.NP","Summits","Persistent","Under.Ice","Plat.de.la.Selle","Barre.des.Ecrins","La.Meije","Sirac","Rouies","Olan","Pelvoux","Occidentale.Ailefroide","Brevoort","Burlan","Rocher.de.la.Selle","Choisy","Muraillette","Rateau","Lauvitel"
"1","Abies_alba","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","Acer_campestre","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","Acer_monspessulanum","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","Acer_opalus","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","Acer_platanoides","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","Acer_pseudoplatanus","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","Achillea_distans","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","Achillea_macrophylla","",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","Achillea_millefolium","",1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"10","Achillea_nana","",0,1,1,1,1,1,0,1,0,1,1,1,0,1,0,1,1,0,1,1,1
"11","Achillea_nobilis","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","Achillea_roseo-alba","",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13","Achnatherum_calamagrostis","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14","Aconitum_anthora","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15","Aconitum_laeve","Himaya",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16","Aconitum_variegatum","",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17","Aconogonum_alpinum","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18","Actaea_spicata","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19","Adenostyles_alliariae","",0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"20","Adenostyles_alpina","",1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"21","Adenostyles_leucophylla","",1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1
"22","Adonis_aestivalis","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23","Adoxa_moschatellina","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24","Aegopodium_podagraria","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25","Aethionema_saxatile","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26","Aethusa_cynapium","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27","Agrimonia_eupatoria","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28","Agrostis_alpina","",0,0,1,1,1,0,0,0,1,1,0,0,0,0,1,0,1,0,1,1,1
"29","Agrostis_capillaris","",1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"30","Agrostis_rupestris","",0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,1,1
"31","Agrostis_schraderiana","",0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
"32","Agrostis_stolonifera","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33","Ajuga_chamaepitys","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34","Ajuga_genevensis","",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35","Ajuga_pyramidalis","",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36","Ajuga_reptans","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37","Alchemilla_alpina","",1,0,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0,1,1
"38","Alchemilla_baltica","Russia",0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"39","Alchemilla_conjuncta","",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40","Alchemilla_connivens","",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41","Alchemilla_fissa","",1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1
"42","Alchemilla_flabellata","",1,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1
"43","Alchemilla_glabra","",1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"44","Alchemilla_glaucescens","",1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
"45","Alchemilla_incisa","",1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"46","Alchemilla_monticola","",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47","Alchemilla_pentaphyllea","",1,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0
"48","Alchemilla_plicata","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49","Alchemilla_saxatilis","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50","Alchemilla_subcrenata","",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51","Alchemilla_transiens","",1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"52","Alchemilla_xanthochlora","",1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"53","Alisma_plantago-aquatica","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54","Alliaria_petiolata","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55","Allium_lusitanicum","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56","Allium_oleraceum","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"57","Allium_schoenoprasum","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"58","Allium_scorodoprasum","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"59","Allium_sphaerocephalon","",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60","Allium_strictum","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"61","Allium_tauricum","Caucasus, Russia",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"62","Allium_ursinum","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63","Allium_victorialis","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"64","Alnus_alnobetula","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"65","Alnus_glutinosa","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"66","Alnus_incana","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"67","Alopecurus_magellanicus","North Eurasia",0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"68","Alopecurus_myosuroides","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"69","Alyssoides_utriculata","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"70","Alyssum_alpestre","",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"71","Alyssum_alyssoides","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"72","Amelanchier_ovalis","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"73","Anacamptis_morio","",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"74","Androsace_adfinis_subsp._puberula","",0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"75","Androsace_helvetica","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"76","Androsace_maxima","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"77","Androsace_obtusifolia","",1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
"78","Androsace_pubescens","",0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,0,0,0
"79","Androsace_vandellii","",1,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
"80","Androsace_vitaliana","",0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"81","Anemone_alpina","",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"82","Anemone_baldensis","",0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"83","Anemone_halleri","",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"84","Anemone_hepatica","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"85","Anemone_montana","",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"86","Anemone_narcissiflora","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"87","Anemone_ranunculoides","",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"88","Anemone_vernalis","",1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"89","Angelica_sylvestris","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"90","Anisantha_sterilis","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"91","Anisantha_tectorum","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"92","Antennaria_carpatica","",1,0,1,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
"93","Antennaria_dioica","",1,0,1,1,1,1,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0
"94","Anthericum_liliago","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"95","Anthoxanthum_odoratum","",1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,0,1,0,0,1,1
"96","Anthriscus_sylvestris","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"97","Anthyllis_montana","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"98","Anthyllis_vulneraria","",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"99","Antirrhinum_majus","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100","Aquilegia_vulgaris","",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"101","Arabidopsis_thaliana","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"102","Arabis_allionii","",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"103","Arabis_auriculata","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"104","Arabis_caerulea","",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"105","Arabis_caucasica","",1,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1,0,0,1,1
"106","Arabis_ciliata","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"107","Arabis_ciliata_var._hirsuta","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"108","Arabis_collina","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"109","Arabis_nova","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"110","Arabis_sagittata","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"111","Arabis_soyeri","",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"112","Arctium_minus","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"113","Arctium_nemorosum","",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"114","Arctostaphylos_uva-ursi","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"115","Arenaria_biflora","",0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"116","Arenaria_gothica","",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"117","Arenaria_serpyllifolia","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"118","Armeria_alpina","",1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1
"119","Armeria_arenaria","",1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"120","Arnica_montana","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"121","Arrhenatherum_elatius","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"122","Artemisia_absinthium","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"123","Artemisia_alba","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"124","Artemisia_atrata","",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"125","Artemisia_campestris","",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"126","Artemisia_genipi","",1,1,1,1,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
