"","Valid_LIB.C.150","Alien_origin","rep.1..length.pezAlpes.phy.tip.label..","Endemic","Ecrins.NP","Summits","Persistent","Under.Ice","Plat.de.la.Selle","Barre.des.Ecrins","La.Meije","Sirac","Rouies","Olan","Pelvoux","Occidentale.Ailefroide","Brevoort","Burlan","Rocher.de.la.Selle","Choisy","Muraillette","Rateau","Lauvitel"
"127","Artemisia_genipi","",1,1,1,1,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
"128","Artemisia_umbelliformis","",1,0,1,1,1,1,0,0,1,0,1,1,0,1,1,1,1,1,1,1,1
"129","Artemisia_vulgaris","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"130","Arum_maculatum","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"131","Aruncus_dioicus","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"132","Asarum_europaeum","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"133","Asparagus_tenuifolius","",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"134","Asperugo_procumbens","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"135","Asperula_cynanchica","",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"136","Asperula_purpurea","",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"137","Asphodelus_albus","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"138","Asphodelus_macrocarpus","",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"139","Asplenium_adiantum-nigrum","",0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"140","Asplenium_ceterach","",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"141","Asplenium_exiguum","China",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"142","Asplenium_ruta-muraria","",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"143","Asplenium_septentrionale","",0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"144","Asplenium_trichomanes","",0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"145","Asplenium_viride","",0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"146","Aster_alpinus","",1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"147","Astragalus_alpinus","",1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
"148","Astragalus_australis","",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"149","Astragalus_austriacus","",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"150","Astragalus_cicer","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"151","Astragalus_danicus","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"152","Astragalus_depressus","",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"153","Astragalus_glycyphyllos","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"154","Astragalus_hypoglottis","",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"155","Astragalus_monspessulanus","",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"156","Astragalus_onobrychis","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"157","Astragalus_penduliflorus","",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"158","Astragalus_sempervirens","",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"159","Astragalus_stella","",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"160","Astragalus_vesicarius","",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"161","Astrantia_major_subsp._involucrata","",1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"162","Athamanta_cretensis","",1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"163","Athyrium_distentifolium","",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"164","Athyrium_filix-femina","",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"165","Atocion_armeria","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"166","Atocion_rupestre","",1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1
"167","Atropa_belladonna","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"168","Avenella_flexuosa","",1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
"169","Avenula_pubescens","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"170","Barbarea_intermedia","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"171","Barbarea_vulgaris","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"172","Bartsia_alpina","",1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"173","Bellardiochloa_variegata","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"174","Bellidiastrum_michelii","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"175","Berardia_lanuginosa","",1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"176","Berberis_vulgaris","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"177","Betonica_hirsuta","",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"178","Betonica_officinalis","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"179","Betula_pendula","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"180","Betula_pubescens","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"181","Biscutella_laevigata","",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"182","Bistorta_officinalis","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"183","Bistorta_vivipara","",1,0,1,1,1,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0,1
"184","Blackstonia_perfoliata","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"185","Blechnum_spicant","",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"186","Blitum_bonus-henricus","",1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
"187","Blysmus_compressus","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"188","Bombycilaena_erecta","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"189","Bothriochloa_ischaemum","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"190","Botrychium_lunaria","",0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1
"191","Brachypodium_pinnatum","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"192","Brachypodium_rupestre","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"193","Brachypodium_sylvaticum","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"194","Brassica_repanda","",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"195","Briza_media","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"196","Bromopsis_benekenii","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"197","Bromopsis_erecta","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"198","Bromopsis_inermis","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"199","Bromus_hordeaceus_subsp._thominei","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"200","Bromus_squarrosus","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"201","Bryonia_cretica","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"202","Buddleja_davidii","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"203","Buglossoides_arvensis","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"204","Buglossoides_incrassata","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"205","Bunias_orientalis","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"206","Bunium_bulbocastanum","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"207","Buphthalmum_salicifolium","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"208","Bupleurum_falcatum","",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"209","Bupleurum_longifolium","",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"210","Bupleurum_petraeum","",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"211","Bupleurum_ranunculoides","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"212","Bupleurum_rotundifolium","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"213","Bupleurum_stellatum","",1,0,1,1,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0
"214","Buxus_sempervirens","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"215","Calamagrostis_epigejos","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"216","Calamagrostis_phragmitoides","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"217","Calamagrostis_varia","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"218","Calamagrostis_villosa","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"219","Callianthemum_coriandrifolium","",1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"220","Calluna_vulgaris","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"221","Caltha_palustris","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"222","Camelina_microcarpa","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"223","Campanula_alpestris","",1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,1,1,0,1,0,1
"224","Campanula_glomerata","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"225","Campanula_glomerata_subsp._glomerata","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"226","Campanula_latifolia","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"227","Campanula_patula","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"228","Campanula_persicifolia","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"229","Campanula_rapunculoides","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"230","Campanula_rhomboidalis","",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"231","Campanula_rotundifolia","",1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,1,1,0,1,1,1
"232","Campanula_stenocodon","",0,0,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,0,1,1
"233","Campanula_trachelium","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"234","Capsella_bursa-pastoris","",1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"235","Cardamine_alpina","",1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"236","Cardamine_flexuosa","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"237","Cardamine_heptaphylla","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
